job_number,title,company,job_code,employer_code,ad_code,description,opening_date,closing_date,location,url,scraped_at,functional_area,raw_skills
1472393,IT Support Engineer,Quantum Engineering (Pvt) Ltd,1472393,DEFZZZ,DEFZZZ,"× Seems you have change your Email address! Do you wish to update your email address in topjobs profile? Yes No Quantum Engineering (Pvt) Ltd Colombo 2, Sri Lanka Closing Date: 10/03/2026 Job Ref No: 1472393 Full Time Apply by email Print IT Support Engineer Apply for jobs from your topjobs account create your personalised digital CV submit your CV with one click (no more uploading) track your job applications in one place Sign Up Login Having difficulty passing reCAPTCHA? ,
                                            or For additional help, visit our Contact Us page. Apply by email Company: Company Email: Vacancy: Vacancy Ref No: Your CV is sent to the employer directly and they will contact you directly on the selection process. Your Name: * Contact No: * Your Email: * Email Subject: Message: * Attach Your CV: * If registered, you can log-in and attach your saved CV Allowed types: .doc, .docx, .odt, .pdf, .jpg, .jpeg, .png. Max size: 2.0MB Send me a copy of my email application Verify Your Email: * Email addresses are different! General Message - Apply for this vacancy only if you are genuinely interested in this position. Send Clear Close Send to a Friend Friend's Email: * My Email: * Comment: Send Clear Close Apply by email Print ▲",Tue Feb 24 2026,Tue Mar 10 2026,Colombo 2,https://www.topjobs.lk/employer/JobAdvertismentServlet?rid=86&ac=DEFZZZ&jc=0001472393&ec=DEFZZZ,02/27/2026 14:08,SDQ,"Windows Server, Linux, Active Directory, Networking Fundamentals, Microsoft Office 365, Cloud Computing, ITIL, Troubleshooting, Helpdesk Software, Cyber Security"
1457280,Shared Services Transformation Lead ? Foods (1),John Keells IT,1457280,0000000313,0000000049,"× Seems you have change your Email address! Do you wish to update your email address in topjobs profile? Yes No John Keells IT Colombo 2, Sri Lanka Closing Date: 24/03/2026 Job Ref No: 1457280 Full Time Apply by email Print Shared Services Transformation Lead – Foods Apply for jobs from your topjobs account create your personalised digital CV submit your CV with one click (no more uploading) track your job applications in one place Sign Up Login Having difficulty passing reCAPTCHA? ,
                                            or For additional help, visit our Contact Us page. Apply by email Company: Company Email: Vacancy: Vacancy Ref No: Your CV is sent to the employer directly and they will contact you directly on the selection process. Your Name: * Contact No: * Your Email: * Email Subject: Message: * Attach Your CV: * If registered, you can log-in and attach your saved CV Allowed types: .doc, .docx, .odt, .pdf, .jpg, .jpeg, .png. Max size: 2.0MB Send me a copy of my email application Verify Your Email: * Email addresses are different! General Message - Apply for this vacancy only if you are genuinely interested in this position. Send Clear Close Send to a Friend Friend's Email: * My Email: * Comment: Send Clear Close Apply by email Print ▲",Tue Feb 24 2026,Tue Mar 24 2026,Colombo 2,https://www.topjobs.lk/employer/JobAdvertismentServlet?rid=87&ac=0000000049&jc=0001457280&ec=0000000313,02/27/2026 14:08,SDQ,"Business Process Re-engineering, Change Management, Shared Services Operations, IT Service Management, Project Management, Process Mapping, Lean Six Sigma, ERP Systems, Business Analytics, Cloud Computing"
1456768,Application Analysts (1),Pan Asia Banking Corporation PLC,1456768,0000000236,0000000200,"× Seems you have change your Email address! Do you wish to update your email address in topjobs profile? Yes No Pan Asia Banking Corporation PLC http://www.pabcbank.com Closing Date: 03/03/2026 Job Ref No: 1456768 Full Time Apply by online CV Print Application Analysts Apply for jobs from your topjobs account create your personalised digital CV submit your CV with one click (no more uploading) track your job applications in one place Sign Up Login Having difficulty passing reCAPTCHA? ,
                                            or For additional help, visit our Contact Us page. Apply by email Company: Company Email: Vacancy: Vacancy Ref No: Your CV is sent to the employer directly and they will contact you directly on the selection process. Your Name: * Contact No: * Your Email: * Email Subject: Message: * Attach Your CV: * If registered, you can log-in and attach your saved CV Allowed types: .doc, .docx, .odt, .pdf, .jpg, .jpeg, .png. Max size: 2.0MB Send me a copy of my email application Verify Your Email: * Email addresses are different! General Message - Apply for this vacancy only if you are genuinely interested in this position. Send Clear Close Send to a Friend Friend's Email: * My Email: * Comment: Send Clear Close Apply by online CV Print ▲",Tue Feb 24 2026,Tue Mar 03 2026,,https://www.topjobs.lk/employer/JobAdvertismentServlet?rid=88&ac=0000000200&jc=0001456768&ec=0000000236,02/27/2026 14:08,SDQ,"Java, Python, SQL, Oracle, Agile methodologies, ITIL, Cloud computing, Data analytics, Software development life cycle, Microsoft Office"
1434664,Consultant ? Cloud Solutions & Services (1),John Keells IT,1434664,0000000313,0000000049,"× Seems you have change your Email address! Do you wish to update your email address in topjobs profile? Yes No John Keells IT Colombo 2, Sri Lanka Closing Date: 24/03/2026 Job Ref No: 1434664 Full Time Apply by email Print Consultant – Cloud Solutions & Services Apply for jobs from your topjobs account create your personalised digital CV submit your CV with one click (no more uploading) track your job applications in one place Sign Up Login Having difficulty passing reCAPTCHA? ,
                                            or For additional help, visit our Contact Us page. Apply by email Company: Company Email: Vacancy: Vacancy Ref No: Your CV is sent to the employer directly and they will contact you directly on the selection process. Your Name: * Contact No: * Your Email: * Email Subject: Message: * Attach Your CV: * If registered, you can log-in and attach your saved CV Allowed types: .doc, .docx, .odt, .pdf, .jpg, .jpeg, .png. Max size: 2.0MB Send me a copy of my email application Verify Your Email: * Email addresses are different! General Message - Apply for this vacancy only if you are genuinely interested in this position. Send Clear Close Send to a Friend Friend's Email: * My Email: * Comment: Send Clear Close Apply by email Print ▲",Tue Feb 24 2026,Tue Mar 24 2026,Colombo 2,https://www.topjobs.lk/employer/JobAdvertismentServlet?rid=89&ac=0000000049&jc=0001434664&ec=0000000313,02/27/2026 14:08,SDQ,"AWS, Azure, Google Cloud, Cloud Migration, Cloud Security, DevOps, Kubernetes, Docker, Terraform, CI/CD"
1472302,Social Media Marketing Executive,TGL Travels & Tours Pvt Ltd,1472302,DEFZZZ,DEFZZZ,"× Seems you have change your Email address! Do you wish to update your email address in topjobs profile? Yes No TGL Travels & Tours Pvt Ltd Colombo 1, Sri Lanka Closing Date: 09/03/2026 Job Ref No: 1472302 Full Time Apply by email Print Social Media Marketing Executive Apply for jobs from your topjobs account create your personalised digital CV submit your CV with one click (no more uploading) track your job applications in one place Sign Up Login Having difficulty passing reCAPTCHA? ,
                                            or For additional help, visit our Contact Us page. Apply by email Company: Company Email: Vacancy: Vacancy Ref No: Your CV is sent to the employer directly and they will contact you directly on the selection process. Your Name: * Contact No: * Your Email: * Email Subject: Message: * Attach Your CV: * If registered, you can log-in and attach your saved CV Allowed types: .doc, .docx, .odt, .pdf, .jpg, .jpeg, .png. Max size: 2.0MB Send me a copy of my email application Verify Your Email: * Email addresses are different! General Message - Apply for this vacancy only if you are genuinely interested in this position. Send Clear Close Send to a Friend Friend's Email: * My Email: * Comment: Send Clear Close Apply by email Print ▲",Mon Feb 23 2026,Mon Mar 09 2026,Colombo 1,https://www.topjobs.lk/employer/JobAdvertismentServlet?rid=91&ac=DEFZZZ&jc=0001472302&ec=DEFZZZ,02/27/2026 14:08,SDQ,digital marketing
1472285,Videographer & Video Editor,Company Name Withheld,1472285,DEFZZZ,DEFZZZ,"× Seems you have change your Email address! Do you wish to update your email address in topjobs profile? Yes No Company Name Withheld Nugegoda, Sri Lanka Closing Date: 09/03/2026 Job Ref No: 1472285 Full Time Apply by email Print Videographer & Video Editor Apply for jobs from your topjobs account create your personalised digital CV submit your CV with one click (no more uploading) track your job applications in one place Sign Up Login Having difficulty passing reCAPTCHA? ,
                                            or For additional help, visit our Contact Us page. Apply by email Company: Company Email: Vacancy: Vacancy Ref No: Your CV is sent to the employer directly and they will contact you directly on the selection process. Your Name: * Contact No: * Your Email: * Email Subject: Message: * Attach Your CV: * If registered, you can log-in and attach your saved CV Allowed types: .doc, .docx, .odt, .pdf, .jpg, .jpeg, .png. Max size: 2.0MB Send me a copy of my email application Verify Your Email: * Email addresses are different! General Message - Apply for this vacancy only if you are genuinely interested in this position. Send Clear Close Send to a Friend Friend's Email: * My Email: * Comment: Send Clear Close Apply by email Print ▲",Mon Feb 23 2026,Mon Mar 09 2026,Nugegoda,https://www.topjobs.lk/employer/JobAdvertismentServlet?rid=92&ac=DEFZZZ&jc=0001472285&ec=DEFZZZ,02/27/2026 14:08,SDQ,"Adobe Premiere Pro, Adobe After Effects, Final Cut Pro, DaVinci Resolve, Canon EOS, Sony A7S, Drone operation, Color grading, Sound design, Storyboarding"
1472273,Management Associate - Graphic Designing,Universal Outsourcing & Consultancy (Pvt) Ltd,1472273,DEFZZZ,DEFZZZ,"× Seems you have change your Email address! Do you wish to update your email address in topjobs profile? Yes No Universal Outsourcing & Consultancy (Pvt) Ltd Colombo 4, Sri Lanka Closing Date: 09/03/2026 Job Ref No: 1472273 Full Time Apply by email Print Management Associate - Graphic Designing Apply for jobs from your topjobs account create your personalised digital CV submit your CV with one click (no more uploading) track your job applications in one place Sign Up Login Having difficulty passing reCAPTCHA? ,
                                            or For additional help, visit our Contact Us page. Apply by email Company: Company Email: Vacancy: Vacancy Ref No: Your CV is sent to the employer directly and they will contact you directly on the selection process. Your Name: * Contact No: * Your Email: * Email Subject: Message: * Attach Your CV: * If registered, you can log-in and attach your saved CV Allowed types: .doc, .docx, .odt, .pdf, .jpg, .jpeg, .png. Max size: 2.0MB Send me a copy of my email application Verify Your Email: * Email addresses are different! General Message - Apply for this vacancy only if you are genuinely interested in this position. Send Clear Close Send to a Friend Friend's Email: * My Email: * Comment: Send Clear Close Apply by email Print ▲",Mon Feb 23 2026,Mon Mar 09 2026,Colombo 4,https://www.topjobs.lk/employer/JobAdvertismentServlet?rid=93&ac=DEFZZZ&jc=0001472273&ec=DEFZZZ,02/27/2026 14:08,SDQ,"Adobe Creative Suite, Graphic Design, Branding, Visual Identity, UI/UX, Photoshop, Illustrator, InDesign, Microsoft Office, Project Management"
1472211,Associate Technical Lead,AKH IT Solutions (Pvt) Ltd,1472211,DEFZZZ,DEFZZZ,"× Seems you have change your Email address! Do you wish to update your email address in topjobs profile? Yes No AKH IT Solutions (Pvt) Ltd All island, Sri Lanka Closing Date: 09/03/2026 Job Ref No: 1472211 Full Time Apply by email Print Associate Technical Lead Apply for jobs from your topjobs account create your personalised digital CV submit your CV with one click (no more uploading) track your job applications in one place Sign Up Login Having difficulty passing reCAPTCHA? ,
                                            or For additional help, visit our Contact Us page. Apply by email Company: Company Email: Vacancy: Vacancy Ref No: Your CV is sent to the employer directly and they will contact you directly on the selection process. Your Name: * Contact No: * Your Email: * Email Subject: Message: * Attach Your CV: * If registered, you can log-in and attach your saved CV Allowed types: .doc, .docx, .odt, .pdf, .jpg, .jpeg, .png. Max size: 2.0MB Send me a copy of my email application Verify Your Email: * Email addresses are different! General Message - Apply for this vacancy only if you are genuinely interested in this position. Send Clear Close Send to a Friend Friend's Email: * My Email: * Comment: Send Clear Close Apply by email Print ▲",Mon Feb 23 2026,Mon Mar 09 2026,All island,https://www.topjobs.lk/employer/JobAdvertismentServlet?rid=94&ac=DEFZZZ&jc=0001472211&ec=DEFZZZ,02/27/2026 14:08,SDQ,"Java, Python, JavaScript, Agile methodologies, Cloud computing, DevOps, MySQL, MongoDB, API design, Microservices architecture"
1472204,Executive - System Engineer (AUS Calendar - AUS Shift) (1),H Connect International (Pvt) Ltd,1472204,0000000445,0000000064,"× Seems you have change your Email address! Do you wish to update your email address in topjobs profile? Yes No H Connect International (Pvt) Ltd Closing Date: 02/03/2026 Job Ref No: 1472204 Full Time Apply by online CV Print Executive - System Engineer (AUS Calendar - AUS Shift) Apply for jobs from your topjobs account create your personalised digital CV submit your CV with one click (no more uploading) track your job applications in one place Sign Up Login Having difficulty passing reCAPTCHA? ,
                                            or For additional help, visit our Contact Us page. Apply by email Company: Company Email: Vacancy: Vacancy Ref No: Your CV is sent to the employer directly and they will contact you directly on the selection process. Your Name: * Contact No: * Your Email: * Email Subject: Message: * Attach Your CV: * If registered, you can log-in and attach your saved CV Allowed types: .doc, .docx, .odt, .pdf, .jpg, .jpeg, .png. Max size: 2.0MB Send me a copy of my email application Verify Your Email: * Email addresses are different! General Message - Apply for this vacancy only if you are genuinely interested in this position. Send Clear Close Send to a Friend Friend's Email: * My Email: * Comment: Send Clear Close Apply by online CV Print ▲",Mon Feb 23 2026,Mon Mar 02 2026,,https://www.topjobs.lk/employer/JobAdvertismentServlet?rid=95&ac=0000000064&jc=0001472204&ec=0000000445,02/27/2026 14:08,SDQ,"Linux, Windows, AWS, Azure, VMware, ITIL, PowerShell, Bash, Cisco, Networking"
1472198,Junior Executive - Information Technology,Gamma Pizza Craft Lanka,1472198,DEFZZZ,DEFZZZ,"× Seems you have change your Email address! Do you wish to update your email address in topjobs profile? Yes No Gamma Pizza Craft Lanka Colombo 2, Sri Lanka Closing Date: 09/03/2026 Job Ref No: 1472198 Full Time Apply by email Print Junior Executive - Information Technology Apply for jobs from your topjobs account create your personalised digital CV submit your CV with one click (no more uploading) track your job applications in one place Sign Up Login Having difficulty passing reCAPTCHA? ,
                                            or For additional help, visit our Contact Us page. Apply by email Company: Company Email: Vacancy: Vacancy Ref No: Your CV is sent to the employer directly and they will contact you directly on the selection process. Your Name: * Contact No: * Your Email: * Email Subject: Message: * Attach Your CV: * If registered, you can log-in and attach your saved CV Allowed types: .doc, .docx, .odt, .pdf, .jpg, .jpeg, .png. Max size: 2.0MB Send me a copy of my email application Verify Your Email: * Email addresses are different! General Message - Apply for this vacancy only if you are genuinely interested in this position. Send Clear Close Send to a Friend Friend's Email: * My Email: * Comment: Send Clear Close Apply by email Print ▲",Mon Feb 23 2026,Mon Mar 09 2026,Colombo 2,https://www.topjobs.lk/employer/JobAdvertismentServlet?rid=96&ac=DEFZZZ&jc=0001472198&ec=DEFZZZ,02/27/2026 14:08,SDQ,"Java, Python, SQL, HTML, CSS, JavaScript, MySQL, Linux, Windows Server, Networking Fundamentals"
